1,22474235,"['cosmos1j6y7gafqnlv25hmeqh3tkcdf3d072uhgpp42x0', 'osmo1j6y7gafqnlv25hmeqh3tkcdf3d072uhgf6x6sa', '1000000', 'uatom']",2024-10-04T18:00:18.094177631Z
00,22474236,[]
4,22474237,"['osmo1z24llw8lyafczgpza7qzdpmx273c4zxwjgl6qpu8ly34g3g9jd2q6vnd3t', 'cosmos1kmznkcgstxuc5j8h752xd9kvj2t7wqtdg0fflg', '11209', 'transfer/channel-0/uatom']"
4,22474237,"['osmo1z24llw8lyafczgpza7qzdpmx273c4zxwjgl6qpu8ly34g3g9jd2q6vnd3t', 'cosmos1kmznkcgstxuc5j8h752xd9kvj2t7wqtdg0fflg', '6861', 'transfer/channel-0/uatom']"
4,22474237,"['osmo1z24llw8lyafczgpza7qzdpmx273c4zxwjgl6qpu8ly34g3g9jd2q6vnd3t', 'cosmos1wn6d6xyne6ylrj2mkxe3dd79ntp3rqcyx40s03', '171088', 'transfer/channel-0/uatom']"
00,22474238,[]
00,22474239,[]
00,22474240,[]
00,22474241,[]
00,22474242,[]
00,22474243,[]
00,22474244,[]
00,22474245,[]
00,22474246,[]
00,22474247,[]
00,22474248,[]
6,22474249,"['pryzm1m4nuuzev0yj3gfjfkhfpf677gm9ug7z7gwkmt2', 'cosmos1m4nuuzev0yj3gfjfkhfpf677gm9ug7z7s7pu4e', '58188', 'transfer/channel-0/uatom']"
6,22474249,"['crc1h6s7zslrtk6xqzjw35xwwperny39ldfn79lndz', 'cosmos1m4hktnvnjcjf76k3r7jpycke9ee8yjvgcgupvg', '2361760', 'transfer/channel-1/uatom']"
7,22474250,"['archway1gw6atskparg9zwf7gsmlxquetepcw5wfwjhe2e', 'cosmos1gw6atskparg9zwf7gsmlxquetepcw5wfmetaqw', '3189000', 'transfer/channel-0/uatom']"
8,22474251,"['cosmos1kmznkcgstxuc5j8h752xd9kvj2t7wqtdg0fflg', 'neutron16m3hjh7l04kap086jgwthduma0r5l0wh8kc6kaqk92ge9n5aqvys9q6lxr', '1000000', 'uatom']"
00,22474252,[]
00,22474253,[]
00,22474254,[]
00,22474255,[]
00,22474256,[]
9,22474257,"['cosmos15tyycjuy4vg09smzv3hqffypvklx7hvcw5l3he', 'osmo1vkdakqqg5htq5c3wy2kj2geq536q665xdexrtjuwqckpads2c2nsvhhcyv', '230000', 'uatom']",2024-10-04T18:02:34.541453886Z
00,22474258,[]
00,22474259,[]
00,22474260,[]
00,22474261,[]
00,22474262,[]
00,22474263,[]
00,22474264,[]
10,22474265,"['cosmos1c8fymac2cszrary506nxykvkvnv5djv5qahntm', 'osmo1c8fymac2cszrary506nxykvkvnv5djv5gxyraf', '350000', 'uatom']",2024-10-04T18:03:23.543127956Z
00,22474266,[]
00,22474267,[]
11,22474268,"['cosmos1xqw28cnhsxxpvqw0cl9lhr2z83hk2hjvn95j7r', 'stride1xqw28cnhsxxpvqw0cl9lhr2z83hk2hjvsw5w20', '15000', 'uatom']"
00,22474269,[]
00,22474270,[]
00,22474271,[]
00,22474272,[]
00,22474273,[]
12,22474274,"['cosmos1r020k5d5p9sc2ytpa38dt56vup8m42yax4ld6v', 'osmo1r020k5d5p9sc2ytpa38dt56vup8m42yawwvav7', '50000000', 'uatom']",2024-10-04T18:04:17.979274109Z
00,22474275,[]
